Time,Status,Stabilization_Time,Position_Error_m,Angle_Error_deg,Active_Thrusters,Solve_Time_s,Next_Update_s
0.0450,Traveling to Target (t = 0.0s),,1.73205,90.00,[],0.0425,0.0500
0.0950,Traveling to Target (t = 0.1s),,1.73205,90.00,[],0.0420,0.1000
0.1450,Traveling to Target (t = 0.1s),,1.73205,90.00,"[1, 5]",0.0059,0.1500
0.1950,Traveling to Target (t = 0.2s),,1.73198,89.58,"[1, 5]",0.0312,0.2000
0.2450,Traveling to Target (t = 0.2s),,1.73176,88.30,"[1, 5]",0.0309,0.2500
0.2950,Traveling to Target (t = 0.3s),,1.73140,86.45,"[1, 5]",0.0331,0.3000
0.3450,Traveling to Target (t = 0.3s),,1.73088,84.61,"[1, 5]",0.0290,0.3500
0.3950,Traveling to Target (t = 0.4s),,1.73022,82.83,"[1, 5]",0.0207,0.4000
0.4450,Traveling to Target (t = 0.4s),,1.72940,81.06,"[1, 5]",0.0042,0.4500
0.4950,Traveling to Target (t = 0.5s),,1.72842,79.35,"[1, 5]",0.0043,0.5000
0.5450,Traveling to Target (t = 0.5s),,1.72729,77.65,"[1, 5]",0.0039,0.5500
0.5950,Traveling to Target (t = 0.6s),,1.72599,76.00,"[1, 5]",0.0080,0.6000
0.6450,Traveling to Target (t = 0.6s),,1.72454,74.37,"[1, 5]",0.0040,0.6500
0.6950,Traveling to Target (t = 0.7s),,1.72292,72.78,"[1, 5]",0.0042,0.7000
0.7450,Traveling to Target (t = 0.7s),,1.72114,71.22,"[1, 5]",0.0062,0.7500
0.7950,Traveling to Target (t = 0.8s),,1.71920,69.69,"[1, 5]",0.0057,0.8000
0.8450,Traveling to Target (t = 0.8s),,1.71709,68.20,"[1, 5]",0.0040,0.8500
0.8950,Traveling to Target (t = 0.9s),,1.71481,66.74,"[1, 5]",0.0040,0.9000
0.9450,Traveling to Target (t = 0.9s),,1.71237,65.31,"[1, 5]",0.0041,0.9500
0.9950,Traveling to Target (t = 1.0s),,1.70976,63.91,"[1, 5]",0.0080,1.0000
1.0450,Traveling to Target (t = 1.0s),,1.70698,62.54,"[1, 5]",0.0042,1.0500
1.0950,Traveling to Target (t = 1.1s),,1.70403,61.21,"[1, 5]",0.0063,1.1000
1.1450,Traveling to Target (t = 1.1s),,1.70091,59.90,"[1, 5]",0.0042,1.1500
1.1950,Traveling to Target (t = 1.2s),,1.69763,58.62,"[1, 5]",0.0041,1.2000
1.2450,Traveling to Target (t = 1.2s),,1.69417,57.37,"[1, 5]",0.0082,1.2500
1.2950,Traveling to Target (t = 1.3s),,1.69055,56.16,"[1, 5]",0.0041,1.3000
1.3450,Traveling to Target (t = 1.3s),,1.68675,54.97,"[1, 5]",0.0063,1.3500
1.3950,Traveling to Target (t = 1.4s),,1.68279,53.80,"[1, 5]",0.0041,1.4000
1.4450,Traveling to Target (t = 1.4s),,1.67866,52.67,"[1, 5]",0.0063,1.4500
1.4950,Traveling to Target (t = 1.5s),,1.67436,51.56,"[1, 5]",0.0079,1.5000
1.5450,Traveling to Target (t = 1.5s),,1.66989,50.48,"[1, 5]",0.0063,1.5500
1.5950,Traveling to Target (t = 1.6s),,1.66525,49.43,"[1, 5]",0.0041,1.6000
1.6450,Traveling to Target (t = 1.6s),,1.66045,48.40,"[1, 5]",0.0040,1.6500
1.6950,Traveling to Target (t = 1.7s),,1.65548,47.40,"[1, 5]",0.0060,1.7000
1.7450,Traveling to Target (t = 1.7s),,1.65034,46.42,"[1, 5]",0.0039,1.7500
1.7950,Traveling to Target (t = 1.8s),,1.64503,45.47,"[1, 5]",0.0078,1.8000
1.8450,Traveling to Target (t = 1.8s),,1.63956,44.54,"[1, 5]",0.0082,1.8500
1.8950,Traveling to Target (t = 1.9s),,1.63392,43.63,"[1, 5]",0.0041,1.9000
1.9450,Traveling to Target (t = 1.9s),,1.62812,42.75,"[1, 5]",0.0040,1.9500
1.9950,Traveling to Target (t = 2.0s),,1.62215,41.89,"[1, 5]",0.0041,2.0000
2.0450,Traveling to Target (t = 2.0s),,1.61602,41.05,"[1, 5]",0.0061,2.0500
2.0950,Traveling to Target (t = 2.1s),,1.60973,40.23,"[1, 3, 5]",0.0099,2.1000
2.1450,Traveling to Target (t = 2.1s),,1.60327,39.44,"[1, 3, 5]",0.0061,2.1500
2.1950,Traveling to Target (t = 2.2s),,1.59662,38.66,"[1, 3, 5]",0.0060,2.2000
2.2450,Traveling to Target (t = 2.2s),,1.58979,37.91,"[1, 3, 5]",0.0060,2.2500
2.2950,Traveling to Target (t = 2.3s),,1.58277,37.17,"[1, 3, 5]",0.0083,2.3000
2.3450,Traveling to Target (t = 2.3s),,1.57557,36.46,"[1, 3, 5]",0.0060,2.3500
2.3950,Traveling to Target (t = 2.4s),,1.56819,35.76,"[1, 3, 5]",0.0061,2.4000
2.4450,Traveling to Target (t = 2.4s),,1.56062,35.08,"[1, 3, 5]",0.0098,2.4500
2.4950,Traveling to Target (t = 2.5s),,1.55286,34.42,"[1, 3, 5]",0.0061,2.5000
2.5450,Traveling to Target (t = 2.5s),,1.54492,33.78,"[1, 3, 5]",0.0041,2.5500
2.5950,Traveling to Target (t = 2.6s),,1.53680,33.16,"[1, 3, 5]",0.0084,2.6000
2.6450,Traveling to Target (t = 2.6s),,1.52848,32.55,"[1, 3, 5]",0.0063,2.6500
2.6950,Traveling to Target (t = 2.7s),,1.51999,31.96,"[1, 3, 5]",0.0083,2.7000
2.7450,Traveling to Target (t = 2.7s),,1.51130,31.38,"[1, 3, 5]",0.0062,2.7500
2.7950,Traveling to Target (t = 2.8s),,1.50244,30.82,"[1, 3, 5]",0.0041,2.8000
2.8450,Traveling to Target (t = 2.8s),,1.49338,30.27,"[1, 5]",0.0061,2.8500
2.8950,Traveling to Target (t = 2.9s),,1.48417,29.74,"[1, 3, 5]",0.0079,2.9000
2.9450,Traveling to Target (t = 2.9s),,1.47478,29.22,"[1, 3, 5]",0.0062,2.9500
2.9950,Traveling to Target (t = 3.0s),,1.46522,28.71,"[1, 3, 5]",0.0062,3.0000
3.0450,Traveling to Target (t = 3.0s),,1.45546,28.22,"[1, 3, 5]",0.0084,3.0500
3.0950,Traveling to Target (t = 3.1s),,1.44553,27.74,"[1, 3]",0.0040,3.1000
3.1450,Traveling to Target (t = 3.1s),,1.43543,27.28,[1],0.0061,3.1500
3.1950,Traveling to Target (t = 3.2s),,1.42522,26.82,[1],0.0040,3.2000
3.2450,Traveling to Target (t = 3.2s),,1.41491,26.38,[1],0.0062,3.2500
3.2950,Traveling to Target (t = 3.3s),,1.40451,25.94,[1],0.0041,3.3000
3.3450,Traveling to Target (t = 3.3s),,1.39401,25.52,[1],0.0040,3.3500
3.3950,Traveling to Target (t = 3.4s),,1.38342,25.11,[1],0.0084,3.4000
3.4450,Traveling to Target (t = 3.4s),,1.37273,24.71,"[1, 3]",0.0080,3.4500
3.4950,Traveling to Target (t = 3.5s),,1.36193,24.32,"[1, 3]",0.0041,3.5000
3.5450,Traveling to Target (t = 3.5s),,1.35098,23.94,[1],0.0061,3.5500
3.5950,Traveling to Target (t = 3.6s),,1.33991,23.56,[1],0.0040,3.6000
3.6450,Traveling to Target (t = 3.6s),,1.32875,23.20,[1],0.0062,3.6500
3.6950,Traveling to Target (t = 3.7s),,1.31749,22.84,[1],0.0041,3.7000
3.7450,Traveling to Target (t = 3.7s),,1.30614,22.50,[1],0.0063,3.7500
