Time,Current_X,Current_Y,Current_Z,Current_Roll,Current_Pitch,Current_Yaw,Current_VX,Current_VY,Current_VZ,Current_WX,Current_WY,Current_WZ,Target_X,Target_Y,Target_Z,Target_Roll,Target_Pitch,Target_Yaw,Error_X,Error_Y,Error_Z,Error_Roll,Error_Pitch,Error_Yaw,Command_Vector,Thruster_1_Cmd,Thruster_1_Val,Thruster_2_Cmd,Thruster_2_Val,Thruster_3_Cmd,Thruster_3_Val,Thruster_4_Cmd,Thruster_4_Val,Thruster_5_Cmd,Thruster_5_Val,Thruster_6_Cmd,Thruster_6_Val,Thruster_7_Cmd,Thruster_7_Val,Thruster_8_Cmd,Thruster_8_Val,Thruster_9_Cmd,Thruster_9_Val,Thruster_10_Cmd,Thruster_10_Val,Thruster_11_Cmd,Thruster_11_Val,Thruster_12_Cmd,Thruster_12_Val
0.0100,0.99999,0.99999,0.00000,0.00000,0.00000,0.00000,-0.00300,-0.00300,0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.99999,-0.99999,0.00000,-0.00000,0.00000,0.00000,"[1.000, 1.000, 0.000, 0.000, 1.000, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",1.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.0200,0.99994,0.99994,-0.00000,0.00000,0.00000,0.00000,-0.00600,-0.00600,-0.00000,0.00000,-0.00000,-0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.99994,-0.99994,0.00000,-0.00000,0.00000,0.00000,"[1.000, 1.000, 0.000, 0.000, 1.000, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",0.998,1.000,0.998,1.000,0.002,0.000,0.002,0.000,0.998,1.000,0.998,1.000,0.002,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.0300,0.99987,0.99987,-0.00000,0.00000,0.00000,0.00000,-0.00900,-0.00900,-0.00000,-0.00000,-0.00000,-0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.99987,-0.99987,0.00000,-0.00000,0.00000,0.00000,"[1.000, 1.000, 0.000, 0.000, 1.000, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",0.998,1.000,0.998,1.000,0.002,0.000,0.002,0.000,0.998,1.000,0.998,1.000,0.002,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.0400,0.99976,0.99976,-0.00000,0.00000,0.00000,0.00000,-0.01200,-0.01200,-0.00000,-0.00000,-0.00000,-0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.99976,-0.99976,0.00000,-0.00000,0.00000,0.00000,"[1.000, 1.000, 0.000, 0.000, 1.000, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",0.998,1.000,0.998,1.000,0.002,0.000,0.002,0.000,0.998,1.000,0.998,1.000,0.002,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.0500,0.99962,0.99962,-0.00000,0.00000,0.00000,0.00000,-0.01500,-0.01500,-0.00000,0.00000,-0.00000,-0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.99962,-0.99962,0.00000,-0.00000,0.00000,0.00000,"[1.000, 1.000, 0.000, 0.000, 1.000, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",0.998,1.000,0.998,1.000,0.002,0.000,0.002,0.000,0.998,1.000,0.998,1.000,0.002,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.0600,0.99946,0.99946,-0.00000,0.00000,0.00000,0.00000,-0.01800,-0.01800,-0.00000,0.00000,-0.00000,-0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.99946,-0.99946,0.00000,-0.00000,0.00000,0.00000,"[1.000, 1.000, 0.000, 0.000, 1.000, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",0.998,1.000,0.998,1.000,0.002,0.000,0.002,0.000,0.998,1.000,0.998,1.000,0.002,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.0700,0.99927,0.99927,-0.00000,0.00000,0.00000,0.00000,-0.02100,-0.02100,-0.00000,0.00000,-0.00000,-0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.99927,-0.99927,0.00000,-0.00000,0.00000,0.00000,"[1.000, 1.000, 0.000, 0.000, 1.000, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",0.999,1.000,0.999,1.000,0.001,0.000,0.001,0.000,0.999,1.000,0.999,1.000,0.001,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.0800,0.99904,0.99904,-0.00000,0.00000,0.00000,0.00000,-0.02400,-0.02400,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.99904,-0.99904,0.00000,-0.00000,0.00000,0.00000,"[1.000, 1.000, 0.000, 0.000, 1.000, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",0.998,1.000,0.998,1.000,0.002,0.000,0.002,0.000,0.998,1.000,0.998,1.000,0.002,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.0900,0.99879,0.99879,-0.00000,0.00000,0.00000,0.00000,-0.02700,-0.02700,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.99879,-0.99879,0.00000,-0.00000,0.00000,0.00000,"[1.000, 1.000, 0.000, 0.000, 1.000, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",0.999,1.000,0.999,1.000,0.001,0.000,0.001,0.000,0.999,1.000,0.999,1.000,0.001,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.1000,0.99850,0.99850,-0.00000,0.00000,0.00000,0.00000,-0.03000,-0.03000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.99850,-0.99850,0.00000,-0.00000,0.00000,0.00000,"[1.000, 1.000, 0.000, 0.000, 1.000, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",0.998,1.000,0.998,1.000,0.002,0.000,0.002,0.000,0.998,1.000,0.998,1.000,0.002,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.1100,0.99819,0.99819,-0.00000,0.00000,0.00000,-0.00000,-0.03300,-0.03300,-0.00000,0.00000,-0.00000,-0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.99819,-0.99819,0.00000,-0.00000,0.00000,0.00000,"[1.000, 1.000, 0.000, 0.000, 1.000, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",0.998,1.000,0.998,1.000,0.002,0.000,0.002,0.000,0.998,1.000,0.998,1.000,0.002,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
