Step,MPC_Start_Time,Control_Time,Actual_Time_Interval,CONTROL_DT,Mission_Phase,Waypoint_Number,Telemetry_X_mm,Telemetry_Y_mm,Telemetry_Z_mm,Telemetry_Roll_deg,Telemetry_Pitch_deg,Telemetry_Yaw_deg,Current_X,Current_Y,Current_Z,Current_Roll,Current_Pitch,Current_Yaw,Current_VX,Current_VY,Current_VZ,Current_WX,Current_WY,Current_WZ,Target_X,Target_Y,Target_Z,Target_Roll,Target_Pitch,Target_Yaw,Target_VX,Target_VY,Target_VZ,Target_WX,Target_WY,Target_WZ,Error_X,Error_Y,Error_Z,Error_Roll,Error_Pitch,Error_Yaw,Error_VX,Error_VY,Error_VZ,Error_WX,Error_WY,Error_WZ,MPC_Computation_Time,MPC_Status,MPC_Solver,MPC_Solver_Time_Limit,MPC_Solve_Time,MPC_Time_Limit_Exceeded,MPC_Fallback_Used,MPC_Objective,MPC_Iterations,MPC_Optimality_Gap,Command_Vector,Command_Hex,Command_Sent_Time,Total_Active_Thrusters,Thruster_Switches,RW_Torque_X,RW_Torque_Y,RW_Torque_Z,Total_MPC_Loop_Time,Timing_Violation
0,0.0000,0.0000,0.0100,0.010,APPROACHING,0,1000.00,1000.00,0.00,0.00,0.00,0.00,1.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0000,,,,0.0261,,,,,,"[1.000, 1.000, 0.000, 0.000, 1.000, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",0x110011000000,0.0000,4,0,0.000000,0.000000,-0.000000,0.0000,NO
1,0.0100,0.0100,0.0100,0.010,APPROACHING,0,999.99,999.99,0.00,0.00,0.00,0.00,0.99999,0.99999,0.00000,0.00000,0.00000,0.00000,-0.00300,-0.00300,0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99999,0.99999,0.00000,0.00000,0.00000,0.00000,0.00300,0.00300,0.00000,-0.00000,-0.00000,0.00000,0.0000,,,,0.0057,,,,,,"[0.998, 0.998, 0.002, 0.002, 0.998, 0.998, 0.002, 0.002, 0.000, 0.000, 0.000, 0.000]",0x110011000000,0.0100,4,0,-0.000000,-0.000000,-0.000000,0.0000,NO
2,0.0200,0.0200,0.0100,0.010,APPROACHING,0,999.94,999.94,-0.00,0.00,0.00,0.00,0.99994,0.99994,-0.00000,0.00000,0.00000,0.00000,-0.00600,-0.00600,-0.00000,0.00000,-0.00000,-0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99994,0.99994,-0.00000,0.00000,0.00000,0.00000,0.00600,0.00600,0.00000,-0.00000,0.00000,0.00000,0.0000,,,,0.0067,,,,,,"[0.998, 0.998, 0.002, 0.002, 0.998, 0.998, 0.002, 0.002, 0.000, 0.000, 0.000, 0.000]",0x110011000000,0.0200,4,0,-0.000000,-0.000000,-0.000000,0.0000,NO
3,0.0300,0.0300,0.0100,0.010,APPROACHING,0,999.87,999.87,-0.00,0.00,0.00,0.00,0.99987,0.99987,-0.00000,0.00000,0.00000,0.00000,-0.00900,-0.00900,-0.00000,-0.00000,-0.00000,-0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99987,0.99987,-0.00000,0.00000,0.00000,0.00000,0.00900,0.00900,0.00000,0.00000,0.00000,0.00000,0.0000,,,,0.0123,,,,,,"[0.998, 0.998, 0.002, 0.002, 0.998, 0.998, 0.002, 0.002, 0.000, 0.000, 0.000, 0.000]",0x110011000000,0.0300,4,0,0.000000,0.000000,0.000000,0.0000,NO
4,0.0400,0.0400,0.0100,0.010,APPROACHING,0,999.76,999.76,-0.00,0.00,0.00,0.00,0.99976,0.99976,-0.00000,0.00000,0.00000,0.00000,-0.01200,-0.01200,-0.00000,-0.00000,-0.00000,-0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99976,0.99976,-0.00000,0.00000,0.00000,0.00000,0.01200,0.01200,0.00000,0.00000,0.00000,0.00000,0.0000,,,,0.0078,,,,,,"[0.998, 0.998, 0.002, 0.002, 0.998, 0.998, 0.002, 0.002, 0.000, 0.000, 0.000, 0.000]",0x110011000000,0.0400,4,0,0.000000,0.000000,0.000000,0.0000,NO
5,0.0500,0.0500,0.0100,0.010,APPROACHING,0,999.62,999.62,-0.00,0.00,0.00,0.00,0.99962,0.99962,-0.00000,0.00000,0.00000,0.00000,-0.01500,-0.01500,-0.00000,0.00000,-0.00000,-0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99962,0.99962,-0.00000,0.00000,0.00000,0.00000,0.01500,0.01500,0.00000,-0.00000,0.00000,0.00000,0.0000,,,,0.0056,,,,,,"[0.998, 0.998, 0.002, 0.002, 0.998, 0.998, 0.002, 0.002, 0.000, 0.000, 0.000, 0.000]",0x110011000000,0.0500,4,0,0.000000,-0.000000,-0.000000,0.0000,NO
6,0.0600,0.0600,0.0100,0.010,APPROACHING,0,999.46,999.46,-0.00,0.00,0.00,0.00,0.99946,0.99946,-0.00000,0.00000,0.00000,0.00000,-0.01800,-0.01800,-0.00000,0.00000,-0.00000,-0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99946,0.99946,-0.00000,0.00000,0.00000,0.00000,0.01800,0.01800,0.00000,-0.00000,0.00000,0.00000,0.0000,,,,0.0066,,,,,,"[0.999, 0.999, 0.001, 0.001, 0.999, 0.999, 0.001, 0.001, 0.000, 0.000, 0.000, 0.000]",0x110011000000,0.0600,4,0,-0.000000,-0.000000,-0.000000,0.0000,NO
7,0.0700,0.0700,0.0100,0.010,APPROACHING,0,999.27,999.27,-0.00,0.00,0.00,0.00,0.99927,0.99927,-0.00000,0.00000,0.00000,0.00000,-0.02100,-0.02100,-0.00000,0.00000,-0.00000,-0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99927,0.99927,-0.00000,0.00000,0.00000,0.00000,0.02100,0.02100,0.00000,-0.00000,0.00000,0.00000,0.0000,,,,0.0059,,,,,,"[0.998, 0.998, 0.002, 0.002, 0.998, 0.998, 0.002, 0.002, 0.000, 0.000, 0.000, 0.000]",0x110011000000,0.0700,4,0,0.000000,0.000000,-0.000000,0.0000,NO
8,0.0800,0.0800,0.0100,0.010,APPROACHING,0,999.04,999.04,-0.00,0.00,0.00,0.00,0.99904,0.99904,-0.00000,0.00000,0.00000,0.00000,-0.02400,-0.02400,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99904,0.99904,-0.00000,0.00000,0.00000,0.00000,0.02400,0.02400,0.00000,-0.00000,-0.00000,0.00000,0.0000,,,,0.0066,,,,,,"[0.999, 0.999, 0.001, 0.001, 0.999, 0.999, 0.001, 0.001, 0.000, 0.000, 0.000, 0.000]",0x110011000000,0.0800,4,0,0.000000,0.000000,-0.000000,0.0000,NO
9,0.0900,0.0900,0.0100,0.010,APPROACHING,0,998.79,998.79,-0.00,0.00,0.00,0.00,0.99879,0.99879,-0.00000,0.00000,0.00000,0.00000,-0.02700,-0.02700,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99879,0.99879,-0.00000,0.00000,0.00000,0.00000,0.02700,0.02700,0.00000,-0.00000,-0.00000,0.00000,0.0000,,,,0.0109,,,,,,"[0.998, 0.998, 0.002, 0.002, 0.998, 0.998, 0.002, 0.002, 0.000, 0.000, 0.000, 0.000]",0x110011000000,0.0900,4,0,-0.000000,-0.000000,-0.000000,0.0000,NO
